Epochs,Training times,Training loss,Validation loss,Test MAEs
0,0.203460693359375,491.6053466796875,60.4539909362793,5.7715874
1,0.2507784366607666,477.4801025390625,59.00102996826172,5.7007937
2,0.3027918338775635,464.035888671875,57.53834915161133,5.623424
3,0.35726141929626465,451.0010986328125,56.06013488769531,5.541674
4,0.4207589626312256,438.27984619140625,54.571434020996094,5.4546194
5,0.47340989112854004,425.31658935546875,53.06623840332031,5.3588533
6,0.5242640972137451,411.7921447753906,51.48992156982422,5.2520633
7,0.5827584266662598,397.39544677734375,49.826690673828125,5.1346626
8,0.6377687454223633,381.9468994140625,48.08445739746094,5.002849
9,0.6895451545715332,365.49713134765625,46.26310348510742,4.860537
10,0.748469352722168,348.0968933105469,44.3210563659668,4.705889
11,0.7990267276763916,329.7088623046875,42.30268859863281,4.535875
12,0.8554747104644775,310.2757568359375,40.20730972290039,4.3466115
13,0.9418647289276123,289.8350830078125,37.99809265136719,4.135046
14,1.0035231113433838,268.6123352050781,35.70204162597656,3.9016466
15,1.0541272163391113,246.76206970214844,33.336769104003906,3.647963
16,1.1110355854034424,224.65869140625,30.92953109741211,3.3738868
17,1.1634454727172852,202.63189697265625,28.504566192626953,3.0793638
18,1.220193862915039,181.19114685058594,26.09825897216797,2.7641025
19,1.2759742736816406,160.8473358154297,23.760868072509766,2.431452
