Epochs,Training times,Training loss,Validation loss,Test MAEs
0,0.13274765014648438,3472.7181222098216,2800.1495361328125,5.0018697
1,0.1787407398223877,2929.1810128348216,2215.6200408935547,4.410524
2,0.2311251163482666,2169.2699061802455,1408.427333831787,3.352001
3,0.2837183475494385,1367.6885288783483,872.1254348754883,2.627997
4,0.3306233882904053,1108.535117013114,802.2749900817871,2.4342084
5,0.37725162506103516,969.7702048165457,674.4243144989014,2.1293774
6,0.42400074005126953,756.8619886125837,597.1569061279297,1.914714
7,0.47052884101867676,614.6663164411273,489.9848461151123,1.6952356
8,0.516857385635376,488.51942661830356,392.5628662109375,1.51474
9,0.5632567405700684,412.99547903878346,346.311092376709,1.4299928
10,0.6169397830963135,367.3604540143694,322.2822427749634,1.3647327
11,0.6646053791046143,340.01024845668246,305.53081035614014,1.3194733
12,0.7110378742218018,317.1824242728097,295.94295024871826,1.2889603
13,0.757206916809082,299.9664186750139,288.4521722793579,1.2709965
14,0.8035612106323242,279.1884111676897,276.7647981643677,1.213298
15,0.8504137992858887,265.9996871948242,259.1121196746826,1.171726
16,0.8970298767089844,248.40317971365792,250.88107585906982,1.149917
17,0.9430344104766846,233.70578275408064,241.54200553894043,1.117132
18,1.0028574466705322,225.1178915841239,231.37826919555664,1.0916114
19,1.049699306488037,214.8587166922433,222.40254878997803,1.0824776
