Epochs,Training times,Training loss,Validation loss,Test MAEs
0,0.10868000984191895,414.40716552734375,51.19113540649414,6.8640456
1,0.13933825492858887,403.3225402832031,50.198638916015625,6.836608
2,0.17052030563354492,393.0143127441406,49.19575500488281,6.808089
3,0.20185542106628418,382.9072570800781,48.11852264404297,6.7789073
4,0.23283839225769043,372.617431640625,47.00067901611328,6.748649
5,0.26409387588500977,361.96234130859375,45.84726333618164,6.7164083
6,0.2942848205566406,350.8200378417969,44.61894989013672,6.6833706
7,0.32462382316589355,339.1188659667969,43.304603576660156,6.649691
8,0.35550808906555176,326.6330871582031,41.90568161010742,6.6135945
9,0.385986328125,313.2957763671875,40.44603729248047,6.5756574
10,0.41684436798095703,299.1841125488281,38.9151611328125,6.536108
11,0.4477193355560303,284.25445556640625,37.28947448730469,6.4942513
12,0.47891879081726074,268.46514892578125,35.55046081542969,6.449702
13,0.5108051300048828,251.91232299804688,33.68351745605469,6.401858
14,0.5419182777404785,234.71754455566406,31.704742431640625,6.350744
15,0.5789287090301514,217.07839965820312,29.63055419921875,6.2968946
16,0.6104938983917236,199.25344848632812,27.45503044128418,6.239727
17,0.6411173343658447,181.42007446289062,25.22901153564453,6.1789093
18,0.6732745170593262,163.875244140625,22.993576049804688,6.113942
19,0.7044425010681152,147.00729370117188,20.78982925415039,6.0442324
